Worker_id,No_Tasks,Time
1,1,1607069600.300764
2,0,1607069600.300764
3,0,1607069600.300764
1,1,1607069600.31871
2,1,1607069600.31871
3,0,1607069600.31871
1,1,1607069600.336696
2,1,1607069600.336696
3,1,1607069600.336696
1,2,1607069600.3466349
2,1,1607069600.3466349
3,1,1607069600.3466349
1,3,1607069601.31807
2,1,1607069601.31807
3,1,1607069601.31807
1,3,1607069601.3519807
2,1,1607069601.3519807
3,2,1607069601.3519807
1,4,1607069601.3858998
2,1,1607069601.3858998
3,1,1607069601.3858998
1,4,1607069601.412821
2,1,1607069601.412821
1,3,1607069601.413838
3,1,1607069601.412821
2,1,1607069601.413838
3,1,1607069601.413838
1,4,1607069601.4178035
2,1,1607069601.4178035
3,1,1607069601.4178035
1,5,1607069601.7170033
2,1,1607069601.7170033
3,1,1607069601.7170033
1,5,1607069601.732961
2,1,1607069601.732961
3,2,1607069601.732961
1,5,1607069601.7638795
2,2,1607069601.7638795
3,2,1607069601.7638795
1,5,1607069602.1378796
2,2,1607069602.1378796
3,3,1607069602.1378796
1,5,1607069602.1438608
2,3,1607069602.1438608
3,3,1607069602.1438608
1,4,1607069602.3628514
2,3,1607069602.3628514
3,3,1607069602.3628514
1,4,1607069602.4486208
1,4,1607069602.4496176
2,3,1607069602.4486208
2,3,1607069602.4496176
3,3,1607069602.4486208
3,3,1607069602.4496176
1,4,1607069602.4635804
2,4,1607069602.4635804
3,3,1607069602.4635804
1,5,1607069603.1622593
2,4,1607069603.1622593
3,3,1607069603.1622593
1,5,1607069603.1652503
2,5,1607069603.1652503
3,3,1607069603.1652503
1,5,1607069603.5123227
2,5,1607069603.5123227
1,5,1607069603.5143187
3,3,1607069603.5123227
2,5,1607069603.5143187
3,3,1607069603.5143187
1,4,1607069603.530277
2,6,1607069603.530277
1,4,1607069603.531271
3,3,1607069603.530277
2,6,1607069603.531271
3,3,1607069603.531271
1,5,1607069603.5462322
2,5,1607069603.5462322
1,5,1607069603.54724
3,3,1607069603.5462322
2,5,1607069603.54724
3,3,1607069603.54724
1,4,1607069603.8005514
2,5,1607069603.8005514
3,3,1607069603.8005514
1,4,1607069604.110236
2,5,1607069604.110236
3,2,1607069604.110236
1,4,1607069604.4643369
2,4,1607069604.4643369
3,2,1607069604.4643369
1,4,1607069604.758575
2,4,1607069604.758575
3,2,1607069604.758575
1,3,1607069604.8203833
2,4,1607069604.8203833
1,3,1607069604.82138
3,2,1607069604.8203833
2,4,1607069604.82138
3,2,1607069604.82138
1,2,1607069604.8233764
2,5,1607069604.8233764
3,2,1607069604.8233764
1,2,1607069604.826368
2,5,1607069604.826368
3,2,1607069604.826368
1,3,1607069604.8433225
2,5,1607069604.8433225
3,2,1607069604.8433225
1,3,1607069604.962096
2,6,1607069604.962096
3,2,1607069604.962096
1,3,1607069605.0138655
2,7,1607069605.0138655
3,2,1607069605.0138655
1,3,1607069605.2522697
2,7,1607069605.2522697
3,1,1607069605.2522697
1,3,1607069605.573065
2,7,1607069605.573065
3,0,1607069605.573065
1,4,1607069605.8433359
2,6,1607069605.8433359
3,0,1607069605.8433359
1,4,1607069605.8563013
2,6,1607069605.8563013
3,0,1607069605.8563013
1,3,1607069605.8604796
2,6,1607069605.8604796
1,3,1607069605.8604796
3,1,1607069605.8604796
2,6,1607069605.8604796
3,1,1607069605.8604796
1,3,1607069605.87644
2,5,1607069605.87644
3,2,1607069605.87644
1,3,1607069605.887423
2,5,1607069605.887423
3,2,1607069605.887423
1,2,1607069605.9123466
2,5,1607069605.9123466
3,2,1607069605.9123466
1,2,1607069606.2654824
2,4,1607069606.2654824
3,2,1607069606.2654824
1,2,1607069606.560693
2,3,1607069606.560693
3,2,1607069606.560693
1,2,1607069606.8828728
2,2,1607069606.8828728
3,2,1607069606.8828728
1,2,1607069607.1920042
2,1,1607069607.1920042
3,2,1607069607.1920042
1,2,1607069607.4972286
2,0,1607069607.4972286
3,2,1607069607.4972286
1,1,1607069607.7898633
2,0,1607069607.7898633
3,2,1607069607.7898633
1,1,1607069607.948992
2,0,1607069607.948992
3,2,1607069607.948992
1,1,1607069607.9529395
2,0,1607069607.9529395
1,1,1607069607.953936
3,1,1607069607.9529395
2,0,1607069607.953936
3,1,1607069607.953936
1,2,1607069607.9579253
2,0,1607069607.9579253
3,1,1607069607.9579253
1,2,1607069608.9181643
2,1,1607069608.9181643
3,1,1607069608.9181643
1,3,1607069608.923151
2,1,1607069608.923151
3,1,1607069608.923151
1,4,1607069608.9460895
2,1,1607069608.9460895
3,1,1607069608.9460895
1,3,1607069609.0398822
2,1,1607069609.0398822
3,1,1607069609.0398822
1,3,1607069609.9305522
2,1,1607069609.9305522
3,1,1607069609.9305522
1,3,1607069610.0482013
2,1,1607069610.0482013
3,1,1607069610.0482013
1,3,1607069610.0541859
2,1,1607069610.0541859
3,2,1607069610.0541859
1,3,1607069610.7958276
2,2,1607069610.7958276
3,2,1607069610.7958276
1,3,1607069610.800816
2,2,1607069610.800816
3,3,1607069610.800816
1,4,1607069610.8257544
2,2,1607069610.8257544
3,3,1607069610.8257544
1,4,1607069610.8317335
2,3,1607069610.8317335
3,3,1607069610.8317335
1,4,1607069610.8576686
2,4,1607069610.8576686
3,3,1607069610.8576686
1,5,1607069611.065108
2,4,1607069611.065108
3,3,1607069611.065108
1,5,1607069611.069097
2,5,1607069611.069097
3,3,1607069611.069097
1,5,1607069611.0980208
2,6,1607069611.0980208
3,3,1607069611.0980208
1,4,1607069611.9935546
2,7,1607069611.9935546
3,3,1607069611.9935546
1,4,1607069611.9975436
2,7,1607069611.9975436
3,3,1607069611.9975436
1,5,1607069612.4954035
2,7,1607069612.4954035
3,3,1607069612.4954035
1,4,1607069612.8933089
